,title,authors,type,year_correct,year_number,collected_by,number_authors
1000,BIB Fundgrube Fachinformation Grüne Bibliothek. BibInfo,[' Berufsverband Information Bibliothek e.V.'],Publication,True,2021,Fabian,1
1001,Bibliothek 2.0 : neue Perspektiven und Einsatzmöglichkeiten für wissenschaftliche Bibliotheken,"['Michaela Selbach', 'Bibliothek der Fachhochsch.']",Publication,True,2007,Fabian,2
1002,Service vor Ort? Die Bibliothek geht zum Nutzer,['Manuela Schulz'],Publication,True,2010,Fabian,1
1003,Wissenschaft online. Elektronisches Publizieren in Bibliothek und Hochschule,['Beate Tröger'],Publication,True,2000,Fabian,1
1004,Bibliothek 2.0 -- Wird alles anders?,"['Patrick Danowski', 'Lambert Heller']",Publication,True,2007,Fabian,2
1005,Bibliothek 2. 0: Die Zukunft der Bibliothek?,"['Patrick Danowski', 'Lambert Heller']",Publication,True,2006,Fabian,2
1011,Akademische Soziale Netzwerke und ihre Auswirkungen auf wissenschaftliche Bibliotheken,['Thomas Nachreiner'],Publication,True,2019,Fabian,1
1012,Netzwerk „Grüne Bibliothek“ gegründet,['Berthold Schmitt'],Publication,True,2018,Fabian,1
1013,Und wo sind hier die Bücher? Bibliothek der Zukunft,['Simon Strauss'],Publication,True,2015,Fabian,1
1014,"Bibliothek - Mythos, Metapher, Maschine oder: Der ort der Bibliothek in der Lebenswelt der Stadt",['Hans-Christoph Hobohm'],Publication,True,2000,Fabian,1
1015,Telefonzelle wird zu Bibliothek,['Redaktion Kärnten ORF'],Publication,True,2020,Fabian,1
1017,Die Grüne Bibliothek der Nachbarschaft,['Gabriele Koll'],Publication,True,2015,Fabian,1
1018,Die unheimliche Bibliothek : Erzählung,"['Haruki Murakami', 'Kat Menschik']",Publication,True,2013,Fabian,2
1019,Die Bibliothek als Lernort - neue Servicekonzepte,['Christine Gläser'],Publication,True,2008,Fabian,1
1020,Wielkopolska Biblioteka Cyfrowa (Großpolnische Digitale Bibliothek),['Wielkopolska Biblioteka Cyfrowa (Großpolnische Digitale Bibliothek)'],Publication,True,2008,Fabian,1
1021,"Bibliothek 2.0 - Perspektiven, Probleme, Handlungsbereiche",['Lambert Heller'],Publication,True,2008,Fabian,1
1022,Open-Air-Bibliothek kam schon im Corona-Sommer gut an,['Horst Fröhling'],Publication,True,2021,Fabian,1
1024,Zeusch für Eusch: Die Bibliothek der Dinge,[' Stadtbücherei Frankfurt am Main'],Publication,True,2021,Fabian,1
1025,Die Unwahrscheinlichkeit von Wissenstradition und die Beharrlichkeit der Bibliothek,['Wolfgang Ernst'],Publication,True,2018,Fabian,1
1026,Die Grüne Bibliothek - nachhaltig leben,[' Goethe-Institut Rumänien'],Publication,True,2021,Fabian,1
1027,Bibliothek 2.0 - Die Zukunft der Bibliothek?,"['Patrick Danowski', 'Lambert Heller']",Publication,True,2006,Fabian,2
1032,Kleidertausch in der Bibliothek,[' Shochzwei'],Publication,True,2019,Fabian,1
1035,Die Bibliothek bei Nacht,['Alberto Manguel'],Publication,True,2007,Fabian,1
1036,Bewegung am Lernort: Ein stromerzeugendes Fahrradergometer in der Philologischen Bibliothek der Freien Universität Berlin,['Janet Wagner'],Publication,True,2019,Fabian,1
1037,Basiskenntnis Bibliothek: eine Fachkunde für Fachangestellte für Medien- und Informationsdienste - Fachrichtung Bibliothek,['Klaus-Peter Böttger'],Publication,True,2011,Fabian,1
1038,Warum es nicht funktioniert: Klimaanpassung und die Öffentliche Bibliothek,['Sonja Schillings'],Publication,True,2022,Fabian,1
1039,Was ist eine Grüne Bibliothek?,"[' IFLA Section Environment, Sustainability_and_Libraries']",Publication,True,2022,Fabian,1
1040,"Handelsblatt Management Bibliothek. Bd. 5: Die erfolgreichsten Unternehmer, L-Z",['Handelsblatt Management Bibliothek'],Publication,True,2005,Fabian,1
1041,Moderne Bibliothek,[' ?'],Publication,True,2008,Fabian,1
1042,Grobkonzept Deutsche Digitale Bibliothek,"['Kai Stalmann', 'Reinhard Budde.']",Publication,True,2010,Fabian,2
1043,Text und Data Mining: Herausforderungen und Möglichkeiten für Bibliotheken,['Bastian Drees'],Publication,True,2016,Fabian,1
1044,Bewegung fördert Lernen: Neue Angebote am Lernort Bibliothek dargestellt am Beispiel der Philologischen Bibliothek der Freien Universität Berlin,['Janet Wagner'],Publication,True,2020,Fabian,1
1045,Bibliothek 2.0,[' x'],Publication,True,2010,Fabian,1
1051,"Die Bibliothek der Dinge: Welche Rolle spielen Bibliotheken in der ""sharing economy""?",['_ Goethe-Institut Bratislava'],Publication,True,2016,Fabian,1
1052,Die Bibliothek der Zukunft: eine Typologie von Zukunftsbeschreibungen,['Jens Ilg'],Publication,True,2008,Fabian,1
1053,Bibliothek 2.0 neue Perspektiven und Einsatzmöglichkeiten für wissenschaftliche Bibliotheken,['Michaela Selbach'],Publication,True,2007,Fabian,1
1054,Radfahren in der Bibliothek,['_ Biblioblog; Freie Universität Berlin'],Publication,True,2019,Fabian,1
1055,Die Bibliothek von Löwen - Eine Episode aus der Zeit der Weltkriege,['Wolfgang Schivelbusch'],Publication,True,1988,Fabian,1
1056,Die Rolle der Bibliothek.,['Elmar Mittler'],Publication,True,1995,Fabian,1
1058,Die Bibliothek im Informationszeitalter,['Robert Darnton'],Publication,True,2009,Fabian,1
1059,Zukunft der digitalen Bibliothek,['Jeanette Hofmann'],Publication,True,2009,Fabian,1
1060,"Der Neubau der Gesamthochschul-Bibliothek Kassel, Landesbibliothek und Murhardschen Bibliothek der Stadt Kassel",['Hans-Jürgen Kahlfuß'],Publication,True,1990,Fabian,1
1061,Projekt Deutsche Digitale Bibliothek (DDB) Architekturdokumentation,['Fraunhofer IAIS Cortex Plattform.'],Publication,True,2010,Fabian,1
1062,"Umweltbildung in niedersächsischen Bibliotheken: Die Büchereizentrale Niedersachsen hat für 2022 ihre neue Kampagne ""Bildung - Nachhaltigkeit - Bibliothek (BiNaBi)"" ausgerufen",[' Redaktion BuB'],Publication,True,2022,Fabian,1
1063,Veranstaltungen im Hof vor der Bibliothek am Wasserturm,[' Stadtbibliothek Pankow'],Publication,True,2021,Fabian,1
1064,Bibliothek mit Fördeblick - Der Erweiterungsbau der Deutschen Zentralbibliothek für Wirtschaftswissenschaften (ZBW) in Kiel,['Ralf Flohr'],Publication,True,2002,Fabian,1
1065,"FaMI-Auszubildende als ""ForFuture-Denker/-innen""! Dreitägiger Workshop zum Thema ""Grüne Bibliothek"" inspiriert den Berufsnachwuchs","['Saskia Kussin', 'Janet Wagner']",Publication,True,2022,Fabian,2
1066,LibraryThing ? die kollaborative Bibliothek 2.0,"[' Czerwinski Silvia', ' Voß Jakob']",Publication,True,2010,Fabian,2
1067,Lexikon Buch - Bibliothek - Neue Medien,"['Dietmar Strauch', 'Margarete Rehm']",Publication,True,2007,Fabian,2
1068,"Lexikon Buch, Bibliothek, neue Medien","['Dietmar Strauch', 'Margarete Rehm']",Publication,True,2007,Fabian,2
1070,"Social Software -- Bausteine einer ""Bibliothek 2.0""",['Lambert Heller'],Publication,True,2007,Fabian,1
1071,Auf dem Weg zur Deutschen Digitalen Bibliothek,['Fraunhofer Institut für Intelligente Analyse-und Informationssysteme'],Publication,True,2008,Fabian,1
1072,"Social Software – Bausteine einer ""Bibliothek 2.0""",['Heller Lambert'],Publication,True,2007,Fabian,1
1075,"Buch, Bibliothek und geisteswissenschaftliche Forschung",['Bernhard Fabian'],Publication,True,1983,Fabian,1
1077,LibraryThing -- die kollaborative Bibliothek 2.0,"['Silvia Czerwinski', 'Jakob Voß']",Publication,True,2010,Fabian,2
1080,Die Bibliothek des Johann Christian von Boineburg (1622 - 1672),['Kathrin Paasch'],Publication,True,2005,Fabian,1
1081,Vom Wert des Sammelns und vom Mehrwert des Digitalen : verstreute Bemerkungen zur gegenwärtigen Lage der Bibliothek,['Klaus Ceynowa'],Publication,True,2015,Fabian,1
1082,Plan S in der Diskussion – Reaktionen aus der Wissenschaft auf die internationale Open-Access-Initiative,['Mona Alina Kirsch'],Publication,True,2021,Fabian,1
1083,Die mittelalterliche Bibliothek der Abtei Weißenau,['Elke Wenzel'],Publication,True,1996,Fabian,1
1085,Bibliotheken im Web 2.0 – Bibliothek 2.0,['Lambert Heller'],Publication,True,2009,Fabian,1
1086,Die Bibliothek von Babel,['Jorge Luis Borges'],Publication,True,1974,Fabian,1
1087,"Stadtbücherei Tübingen - das Konzept ""Grüne Bibliothek""",['Monika Fridrich'],Publication,True,2021,Fabian,1
1088,Die Bibliotheca Alexandrina. Eine sich selbst erfindende Bibliothek des Lehrens und Lernens,"['Martin Nissen', 'Lambert Heller']",Publication,True,2010,Fabian,2
1089,Ein Stück Bibliothek im Park: Ein Praxisbericht zum Einsatz des »bookbike nrw« bei der Stadtbibliothek Duisburg,['Marita Dubke'],Publication,True,2020,Fabian,1
1092,Hitler-Jugend. Prim�r- und Sekund�rliteratur der Bibliothek f�r Bildungsgeschichtliche Forschung.,[' ?'],Publication,True,2003,Fabian,1
1093,Von der elektronischen Bibliothek zur innovativen Forschungsinfrastruktur,"['Maria Effinger', 'Leonhard Maylein', 'Jakub Šimek']",Publication,True,2019,Fabian,3
1094,Kujawsko-Pomorska Digitale Bibliothek,['Universität Torun'],Publication,True,2008,Fabian,1
1095,Studien zur Geschichte der Bibliothek von Cäsarea,['Marco Frenschkowski'],Publication,True,2006,Fabian,1
1096,Bibliothek der Dinge: Lieber leihen statt kaufen!,['_ Stadtbibliothek Rosenheim'],Publication,True,2020,Fabian,1
1097,Grüne Bibliothek als Chance? Konzeptentwicklung für die Stadtbücherei Wedel. Bachelorarbeit,['Carolyn Bauke'],Publication,True,2014,Fabian,1
1098,Was ist eine Bibliothek?,['Roland Wagner-Döbler'],Publication,True,2000,Fabian,1
1099,Bibliothek 2.0: Die Zukunft der Bibliothek?,['Lambert Heller Dirk Lewandoski'],Publication,True,2006,Fabian,1
1100,Das Motiv der Bibliothek in der Kriminalliteratur,['Zsuzsanna Csuka'],Publication,True,2016,Fabian,1
1102,�Die elektronische Bibliothek : Literatur- und Informationsbeschaffung im Internet,['Hans Hehl'],Publication,True,2001,Fabian,1
1103,Die Welt der Bücher. Eine Geschichte der Bibliothek,['Matthew Battles'],Publication,True,2012,Fabian,1
1107,Internes Wissensmanagement in kleineren Bibliotheken – Die Bibliothek des Wissenschaftsparks Albert Einstein,['Katja Stender'],Publication,True,2013,Fabian,1
1110,Inhaltliche Zusammenführung eines fachübergreifenden Bibliothekbestandes am Beispiel der Martha-Muchow-Bibliothek der Universität Hamburg,['Kea Cordlandwehr'],Publication,True,2017,Fabian,1
1111,Automatisierte Volltexterschließung von Retrodigitalisaten am Beispiel historischer Zeitungen,['Anna Kugler'],Publication,True,2018,Fabian,1
1112,"Digitale Welt und wissenschaftliche Bibliothek - Informationspraxis im Wandel: Determinanten, Ressourcen, Dienste, Kompetenzen ; eine Einführung",['Wilfried Sühl-Strohmenger'],Publication,True,2008,Fabian,1
